Album,Artist,Genres
THE TORTURED POETS DEPARTMENT,Taylor Swift,pop
Dark Matter,Pearl Jam,alternative metal
HERicane,Lucky Daye,alternative r&b
Teka (with Peso Pluma),DJ Snake,dance pop
REBEL,Anne Wilson,ccm
Define My Name,Nas,conscious hip hop
"Wasteland, Baby! (Special Edition)",Hozier,irish singer-songwriter
Baddy On The Floor,Jamie xx,electronica
For Life (feat. Nile Rodgers),Kygo,edm
Espectacular,Sky Rompiendo,trap latino
Half Life,Wyatt Flores,modern country pop
Starburster,Fontaines D.C.,crank wave
Wahala (feat. Olamide),CKay,afro r&b
Suffer In Silence,Tee Grizzley,detroit hip hop
Damascus,Elvie Shane,modern country pop
Vampire in Beverly Hills,Eyedress,noise pop
Memory Morning,Tourist,chillwave
Cangrinaje,Nicky Jam,latin hip hop
Dark Vacay,Cigarettes After Sex,ambient pop
"A Song For You (Live At The Hollywood Bowl, Los Angeles, CA - April 29, 2023)",The Lumineers,folk-pop
Undone (Love & Loss),Forest Blakk,singer-songwriter pop
Fame Won’t Love You (feat. Paris Hilton),Sia,pop
Happy World,Debbii Dawson,Unknown
TECHNICIAN,ODUMODUBLVCK,afro drill
Again,Still Woozy,bedroom pop
"Heads I Win, Tails You Lose",The Alchemist,alternative hip hop
Dennis Daughter (Deluxe Version),Lola Brooke,trap queen
44ever,Logic,conscious hip hop
"Are You Going to See the Rose in the Vase, or the Dust on the Table",$uicideboy$,cloud rap
Shudder,Jelani Aryeh,bedroom soul
BREAK A NECK,Odetari,krushclub
It Is What It Is,Rachel Chinouriri,indie pop
How You Feel (Ft. Leven Kali),ANOTR,dutch tech house
Reptilia,Ricky Montgomery,la indie
That's My Girl & Tired,Russ,hawaiian hip hop
Nothing To Do,Kings of Leon,modern rock
Why is everyone a DJ?,LAUNDRY DAY,bedroom pop
CHILDREN OF THE SLUMS,Mozzy,cali rap
Pirates & Parrots (feat. Mac McAnally),Zac Brown Band,contemporary country
ES SOLO MÚSICA,iñigo quintero,Unknown
Your Day Will Come,Chanel Beads,hypnagogic pop
Live on Mountain Stage: Outlaws & Outliers,Various Artists,Unknown
Maybe,BUNT.,stutter house
WE STILL DON'T TRUST YOU,Future,atl hip hop
Illusion,Dua Lipa,dance pop
Espresso,Sabrina Carpenter,pop
b i g f e e l i n g s,WILLOW,afrofuturism
MERCEDES (feat. Oscar Maydon),Becky G,latin pop
L o s e M y M i n d,PARTYNEXTDOOR,r&b
Don't Forget Me,Maggie Rogers,indie pop
